SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
8,PAA,14.95,10479837632.000002,Industrial Services,Oil & Gas Pipelines
10,OXY,56.4,49652913819.0,Energy Minerals,Oil & Gas Production
10,OWL,13.45,18949763719.0,Finance,Investment Managers
5,OVV,41.22,11249037458.000002,Energy Minerals,Oil & Gas Production
4,OTIS,86.66,35466370804.0,Producer Manufacturing,Building Products
7,OTEX,39.77,10798139691.041777,Technology Services,Packaged Software
6,ORLY,953.71,56423558480.0,Retail Trade,Specialty Stores
7,ORCL,112.87,309193373999.0,Technology Services,Packaged Software
7,ORAN,12.0,31982502297.91932,Communications,Wireless Telecommunications
10,ON,75.84,32664104507.000004,Electronic Technology,Semiconductors
6,OMC,82.1,16250395349.0,Commercial Services,Advertising/Marketing Services
5,OKTA,72.0,11904868432.999998,Technology Services,Packaged Software
9,OKE,67.27,39188184993.0,Industrial Services,Oil & Gas Pipelines
6,ODFL,374.99,40916528457.0,Transportation,Trucking
8,OC,141.0,12531368545.999998,Process Industries,Containers/Packaging
10,O,54.69,39591383152.0,Finance,Real Estate Investment Trusts
4,NXPI,211.7,54568491022.0,Electronic Technology,Semiconductors
3,NWSA,21.95,12758314507.0,Consumer Services,Publishing: Newspapers
4,NWS,22.94,12758314507.0,Consumer Services,Publishing: Newspapers
8,NWG,5.6,24167960719.7152,Finance,Major Banks
7,NVS,95.93,199062821270.33093,Health Technology,Pharmaceuticals: Major
6,NVR,6444.8,20488211546.0,Consumer Durables,Homebuilding
10,NVO,96.81,431960091012.9334,Health Technology,Pharmaceuticals: Major
9,NVDA,465.96,1150921178893.9998,Electronic Technology,Semiconductors
6,NUE,163.22,40125842617.0,Non-Energy Minerals,Steel
10,NU,8.14,38145399998.0,Technology Services,Information Technology Services
8,NTRS,79.86,16533925190.000004,Finance,Investment Managers
8,NTR,54.28,26844028778.561127,Process Industries,Chemicals: Agricultural
6,NTNX,44.97,10946456946.0,Technology Services,Packaged Software
8,NTES,104.76,65815312323.80452,Technology Services,Packaged Software
9,NTAP,89.08,18353246457.0,Electronic Technology,Computer Peripherals
9,NSC,227.39,51421138126.0,Transportation,Railroads
9,NRG,47.47,10717037996.0,Utilities,Electric Utilities
7,NOW,687.68,140974398499.0,Technology Services,Packaged Software
8,NOK,3.1,17316857346.74001,Electronic Technology,Telecommunications Equipment
6,NOC,477.48,72000453517.0,Electronic Technology,Aerospace & Defense
4,NMR,4.22,12425148808.21517,Finance,Investment Banks/Brokers
10,NKE,114.81,174742287848.0,Consumer Non-Durables,Apparel/Footwear
4,NIO,7.49,12008769180.71032,Consumer Durables,Motor Vehicles
10,NICE,201.04,12583772509.11304,Technology Services,Information Technology Services
8,NI/PB,25.0,11822334006.0,Utilities,Gas Distributors
8,NI,26.43,11822334005.999998,Utilities,Gas Distributors
7,NGG,67.81,49506861363.856,Utilities,Electric Utilities
7,NFLX,452.0,197831204956.00003,Technology Services,Data Processing Services
6,NET,76.8,25787277894.0,Technology Services,Information Technology Services
7,NEM,39.73,45788499531.99999,Non-Energy Minerals,Precious Metals
7,NEE/PR,37.6,122794706525.0,Utilities,Electric Utilities
7,NEE,59.85,122794706524.99998,Utilities,Electric Utilities
7,NDSN,241.08,13745054764.0,Producer Manufacturing,Industrial Machinery
6,NDAQ,54.13,31231091089.0,Finance,Investment Banks/Brokers
8,NBIX,120.0,11790230713.000002,Health Technology,Pharmaceuticals: Major
8,MUFG,8.68,100720255724.47006,Finance,Major Banks
8,MU,73.65,81289993451.0,Electronic Technology,Semiconductors
4,MTD,1100.02,23852618014.0,Health Technology,Medical Specialties
4,MTB/PH,24.32,22037823985.0,Finance,Regional Banks
4,MTB,132.78,22037823985.0,Finance,Regional Banks
7,MT,25.52,20902691470.675858,Non-Energy Minerals,Steel
8,MSI,323.36,53667568689.0,Electronic Technology,Telecommunications Equipment
7,MSFT,370.95,2756997937552.0,Technology Services,Packaged Software
7,MSCI,508.44,40213123069.0,Technology Services,Data Processing Services
7,MS/PP,25.99,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PO,18.66,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PL,21.25,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PK,23.98,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PI,25.03,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PF,25.21,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PE,25.3,131879388211.99998,Finance,Investment Banks/Brokers
7,MS/PA,21.7,131879388211.99998,Finance,Investment Banks/Brokers
7,MS,80.35,131879388212.0,Finance,Investment Banks/Brokers
10,MRVL,52.19,45118253813.0,Electronic Technology,Semiconductors
5,MRO,23.66,13846952814.999998,Energy Minerals,Oil & Gas Production
6,MRNA,79.95,30483654363.0,Health Technology,Biotechnology
9,MRK,103.88,263234297005.0,Health Technology,Pharmaceuticals: Major
10,MPWR,568.5,27237971289.0,Electronic Technology,Semiconductors
7,MPLX,35.87,35913654192.0,Industrial Services,Oil & Gas Pipelines
8,MPC,141.58,53757543882.99999,Energy Minerals,Oil Refining/Marketing
4,MOS,35.91,11736662027.0,Process Industries,Chemicals: Agricultural
7,MORN,275.0,11742444611.000002,Finance,Investment Managers
10,MOH,363.43,21187968296.0,Health Services,Managed Health Care
7,MO,41.32,73080477239.0,Consumer Non-Durables,Tobacco
3,MNST,54.3,56495967566.0,Consumer Non-Durables,Beverages: Non-Alcoholic
5,MMM,103.28,57043307103.99999,Producer Manufacturing,Industrial Conglomerates
5,MMC,195.45,96371008600.0,Finance,Insurance Brokers/Services
10,MLM,465.33,28760724665.0,Non-Energy Minerals,Construction Materials
7,MKL,1366.18,18058898132.0,Finance,Property/Casualty Insurance
6,MKC,67.73,18194733447.0,Consumer Non-Durables,Food: Specialty/Candy
10,MGM,39.81,13598434589.0,Consumer Services,Casinos/Gaming
8,MGA,54.75,15678289912.641052,Producer Manufacturing,Auto Parts: OEM
6,MFG,3.46,43656968678.7296,Finance,Major Banks
10,MFC,19.85,36300438536.03997,Finance,Multi-Line Insurance
9,META,326.59,839291430054.0,Technology Services,Internet Software/Services
10,MET/PF,20.5,46972472370.0,Finance,Multi-Line Insurance
10,MET/PE,23.75,46972472370.0,Finance,Multi-Line Insurance
10,MET/PA,22.95,46972472370.0,Finance,Multi-Line Insurance
10,MET,63.46,46972472370.00001,Finance,Multi-Line Insurance
7,MELI,1590.94,80437185210.0,Retail Trade,Internet Retail
10,MDT,79.55,105774003374.0,Health Technology,Medical Specialties
9,MDLZ,71.61,97453736887.00002,Consumer Non-Durables,Food: Specialty/Candy
9,MDB,384.24,27413455996.000004,Technology Services,Packaged Software
8,MCO,372.63,68191290894.0,Commercial Services,Financial Publishing/Services
10,MCK,455.66,60631252284.0,Distribution Services,Medical Distributors
7,MCHP,85.81,46427094850.0,Electronic Technology,Semiconductors
6,MCD,286.79,208020832637.0,Consumer Services,Restaurants
10,MBLY,40.22,32423271808.000004,Technology Services,Packaged Software
10,MAS,63.39,14231111931.0,Producer Manufacturing,Building Products
6,MAR,208.03,61096610187.0,Consumer Services,Hotels/Resorts/Cruise lines
8,MANH,222.62,13705634512.000002,Technology Services,Packaged Software
8,MAA/PI,55.22,14840316286.0,Finance,Real Estate Investment Trusts
8,MAA,127.18,14840316286.0,Finance,Real Estate Investment Trusts
8,MA,413.15,387442168283.0,Commercial Services,Miscellaneous Commercial Services
9,LYV,84.28,19411821326.0,Consumer Services,Movies/Entertainment
7,LYG,2.28,36391429346.1472,Finance,Major Banks
9,LYB,92.18,29899669522.0,Process Industries,Chemicals: Specialty
8,LW,101.0,14637631821.000002,Consumer Non-Durables,Food: Specialty/Candy
9,LVS,44.85,33788615757.0,Consumer Services,Casinos/Gaming
1,LUV,29.16,17382723703.0,Transportation,Airlines
8,LULU,464.67,61177189001.00001,Retail Trade,Internet Retail
9,LRCX,708.03,93312698893.0,Producer Manufacturing,Industrial Machinery
6,LPLA,216.34,16359749956.0,Finance,Investment Banks/Brokers
5,LOW,208.3,119795958390.00002,Retail Trade,Home Improvement Chains
10,LOGI,87.33,14651844384.490591,Electronic Technology,Computer Peripherals
7,LNT,51.82,13223380491.0,Utilities,Electric Utilities
7,LNG,171.83,40939331705.99999,Industrial Services,Oil & Gas Pipelines
8,LMT,447.11,110927417017.0,Electronic Technology,Aerospace & Defense
10,LLY,588.27,558448995073.0,Health Technology,Pharmaceuticals: Major
4,LKQ,45.2,12095444613.0,Consumer Durables,Automotive Aftermarket
8,LIN,398.65,193301596033.0,Process Industries,Chemicals: Specialty
7,LII,418.66,14879061925.0,Producer Manufacturing,Industrial Machinery
9,LI,35.5,35482296281.85131,Consumer Durables,Motor Vehicles
8,LHX,196.68,37278775510.0,Electronic Technology,Aerospace & Defense
7,LH,217.63,18476787747.0,Health Services,Services to the Health Industry
10,LEN,137.47,38682573790.0,Consumer Durables,Homebuilding
N/A,LEGN,61.42,11165475533.0,Health Technology,Pharmaceuticals: Major
7,LECO,204.75,11711645481.999998,Producer Manufacturing,Industrial Machinery
9,LDOS,108.68,14944198197.0,Electronic Technology,Aerospace & Defense
1,LCID,4.48,10256642856.0,Consumer Durables,Motor Vehicles
6,LBRDK,76.23,11165930231.000002,Communications,Wireless Telecommunications
4,LBRDA,76.14,11165930230.999998,Communications,Wireless Telecommunications
9,LAMR,103.68,10575169698.0,Finance,Real Estate Investment Trusts
2,L,68.82,15364109036.0,Finance,Property/Casualty Insurance
9,KVUE,20.81,39851047366.0,Consumer Non-Durables,Household/Personal Care
7,KR,44.8,32225344373.0,Retail Trade,Food Retail
9,KO,58.74,253957349288.00003,Consumer Non-Durables,Beverages: Non-Alcoholic
5,KMX,66.88,10611730663.000002,Retail Trade,Specialty Stores
5,KMI,17.5,38898543701.0,Industrial Services,Oil & Gas Pipelines
5,KMB,121.49,41056456231.99999,Consumer Non-Durables,Household/Personal Care
10,KLAC,541.23,73570642575.00002,Electronic Technology,Electronic Equipment/Instruments
9,KKR,75.49,66809302381.0,Finance,Investment Managers
6,KIM/PM,23.4,12478067257.0,Finance,Real Estate Investment Trusts
6,KIM/PL,22.93,12478067257.0,Finance,Real Estate Investment Trusts
6,KIM,20.13,12478067257.0,Finance,Real Estate Investment Trusts
7,KHC,36.5,44768662414.99999,Consumer Non-Durables,Food: Major Diversified
8,KEYS,141.89,25196068577.0,Electronic Technology,Electronic Equipment/Instruments
9,KEY/PL,20.5878,12274371607.0,Finance,Major Banks
9,KEY/PK,19.2804,12274371607.0,Finance,Major Banks
9,KEY/PJ,19.1,12274371607.0,Finance,Major Banks
9,KEY/PI,20.88,12274371607.0,Finance,Major Banks
9,KEY,13.11,12274371606.999998,Finance,Major Banks
8,KDP,32.36,45250159691.0,Consumer Non-Durables,Beverages: Non-Alcoholic
9,KB,39.03,14682126420.0132,Finance,Regional Banks
7,K,54.16,18550869330.0,Consumer Non-Durables,Food: Specialty/Candy
9,JPM/PM,18.8,453281172070.0,Finance,Major Banks
9,JPM/PL,20.48,453281172070.0,Finance,Major Banks
9,JPM/PK,20.15,453281172070.0,Finance,Major Banks
9,JPM/PJ,20.81,453281172070.0,Finance,Major Banks
9,JPM/PD,24.5,453281172070.0,Finance,Major Banks
9,JPM/PC,25.1,453281172070.0,Finance,Major Banks
9,JPM,156.79,453281172069.9999,Finance,Major Banks
6,JNJ,155.4,374091074223.0,Health Technology,Pharmaceuticals: Major
8,JKHY,165.15,12027576999.000002,Technology Services,Packaged Software
8,JHX,32.91,14470934009.01174,Non-Energy Minerals,Construction Materials
2,JD,26.93,36280727596.68323,Retail Trade,Internet Retail
7,JCI,55.5,37757763793.99999,Producer Manufacturing,Industrial Machinery
9,JBL,116.42,14895363735.999998,Electronic Technology,Electronic Components
7,JBHT,188.89,19482644753.0,Transportation,Trucking
8,J,128.37,16215245268.000002,Technology Services,Data Processing Services
4,IX,94.27,21793074458.623665,Finance,Finance/Rental/Leasing
9,ITW,247.57,74490315618.0,Producer Manufacturing,Industrial Machinery
10,ITUB,6.46,58132439486.3744,Finance,Major Banks
5,IT,446.0,34765079346.0,Technology Services,Internet Software/Services
10,ISRG,311.56,109691425041.0,Health Technology,Medical Specialties
5,IRM,65.59,19151594367.0,Finance,Real Estate Investment Trusts
9,IR,72.55,29368021159.0,Producer Manufacturing,Industrial Machinery
6,IQV,214.99,39235676003.0,Health Services,Services to the Health Industry
6,IPG,30.83,11808016986.0,Commercial Services,Advertising/Marketing Services
6,IP,36.82,12740357008.000002,Process Industries,Containers/Packaging
9,IOT,33.73,18226215619.0,Technology Services,Packaged Software
9,INVH,32.75,20041632751.0,Finance,Real Estate Investment Trusts
8,INTU,571.49,159980624557.0,Technology Services,Packaged Software
10,INTC,42.15,177704406432.99997,Electronic Technology,Semiconductors
8,ING,14.42,51423501717.28341,Finance,Major Banks
6,INFY,17.64,72930656722.88431,Technology Services,Information Technology Services
5,INCY,55.18,12366347803.0,Health Technology,Pharmaceuticals: Major
7,IMO,53.74,29822747973.52605,Energy Minerals,Integrated Oil
7,ILMN,117.13,18600243921.0,Health Technology,Biotechnology
8,IHG,84.27,13671171261.820805,Consumer Services,Hotels/Resorts/Cruise lines
6,IFF,77.0,19656494110.0,Consumer Non-Durables,Food: Specialty/Candy
3,IEX,205.6,15548611832.000002,Producer Manufacturing,Industrial Machinery
5,IDXX,523.08,43442686960.0,Health Technology,Medical Specialties
3,ICLR,268.19,22079271080.0,Commercial Services,Miscellaneous Commercial Services
10,ICE,112.53,64408108022.99999,Finance,Investment Banks/Brokers
7,IBN,23.87,83979303580.94661,Finance,Regional Banks
7,IBM,160.22,146299861814.0,Technology Services,Information Technology Services
5,IBKR,80.81,34020345448.0,Finance,Investment Banks/Brokers
7,HWM/P,57.6,21715397934.0,Electronic Technology,Aerospace & Defense
7,HWM,52.74,21715397934.0,Electronic Technology,Aerospace & Defense
10,HUM,480.3,59130076244.00001,Health Services,Managed Health Care
10,HUBS,492.04,24764641063.0,Technology Services,Packaged Software
10,HUBB,306.25,16421753192.000002,Producer Manufacturing,Electrical Products
9,HTHT,34.94,11437749168.574268,Consumer Services,Hotels/Resorts/Cruise lines
10,HSY,189.06,38662476660.0,Consumer Non-Durables,Food: Specialty/Candy
10,HST,17.78,12542670553.0,Finance,Real Estate Investment Trusts
9,HSBC,38.82,149045549807.3216,Finance,Major Banks
4,HRL,31.85,17405424522.0,Consumer Non-Durables,Food: Meat/Fish/Dairy
4,HPQ,29.41,29064983428.0,Electronic Technology,Computer Processing Hardware
4,HPE,16.12,20679780784.0,Electronic Technology,Computer Processing Hardware
7,HON,197.79,130393173794.99998,Electronic Technology,Aerospace & Defense
6,HOLX,69.22,16612993579.999998,Health Technology,Medical Specialties
3,HMC,30.6,54964606755.80941,Consumer Durables,Motor Vehicles
7,HLT,170.43,43705119749.0,Consumer Services,Hotels/Resorts/Cruise lines
7,HLN,8.22,37646218780.30561,Distribution Services,Medical Distributors
8,HIG/PG,25.1,23547268380.0,Finance,Multi-Line Insurance
8,HIG,78.29,23547268380.000004,Finance,Multi-Line Insurance
8,HES,132.23,40615608594.0,Energy Minerals,Integrated Oil
2,HEI.A,142.57,21625087518.0,Electronic Technology,Aerospace & Defense
7,HEI,177.73,21625087518.0,Electronic Technology,Aerospace & Defense
7,HDB,63.36,148324888435.7735,Finance,Regional Banks
9,HD,326.17,324624587892.0,Retail Trade,Home Improvement Chains
6,HCA,253.95,67972466362.0,Health Services,Hospital/Nursing Management
8,HBAN,11.86,17174169870.999998,Finance,Major Banks
8,HAL,34.42,30807679865.0,Industrial Services,Oilfield Services/Equipment
5,H,120.82,12461246748.0,Consumer Services,Hotels/Resorts/Cruise lines
8,GWW,807.4,40074612020.0,Distribution Services,Wholesale Distributors
6,GSK,36.0,73803200273.66402,Health Technology,Pharmaceuticals: Major
8,GS/PK,25.3,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PD,21.63,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PC,21.68,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PA,21.48,112384873434.0,Finance,Investment Banks/Brokers
8,GS,344.62,112384873434.0,Finance,Investment Banks/Brokers
8,GRMN,124.39,23799673572.0,Electronic Technology,Telecommunications Equipment
6,GRAB,3.11,12006615604.0,Transportation,Other Transportation
9,GPN,119.87,31212776180.0,Commercial Services,Miscellaneous Commercial Services
8,GPC,134.28,18825602601.0,Distribution Services,Wholesale Distributors
10,GOOGL,136.93,1722517812790.0,Technology Services,Internet Software/Services
7,GOOG,138.45,1722517812790.0,Technology Services,Internet Software/Services
4,GOLD,17.22,30238320098.526043,Non-Energy Minerals,Precious Metals
4,GMAB,32.36,21040469147.86962,Health Technology,Pharmaceuticals: Major
5,GM,33.51,45891312753.0,Consumer Durables,Motor Vehicles
5,GLW,29.01,24750603050.000004,Electronic Technology,Electronic Components
6,GLPI,46.36,12378848782.0,Finance,Real Estate Investment Trusts
4,GL/PD,18.91,11506016441.0,Finance,Life/Health Insurance
4,GL,122.25,11506016441.0,Finance,Life/Health Insurance
5,GIS,66.39,38591128113.0,Consumer Non-Durables,Food: Major Diversified
9,GILD,78.05,97253571765.0,Health Technology,Biotechnology
7,GIB,104.02,24016654550.507595,Technology Services,Information Technology Services
5,GGG,82.24,13881130572.0,Producer Manufacturing,Industrial Machinery
6,GFS,52.76,28899553138.0,Electronic Technology,Semiconductors
4,GFL,28.64,10596369785.129944,Industrial Services,Environmental Services
8,GFI,14.41,12839419398.581102,Non-Energy Minerals,Precious Metals
7,GEN,22.27,14268729377.999998,Technology Services,Packaged Software
3,GEHC,67.39,30678824209.0,Health Technology,Medical Specialties
9,GE,119.48,130040361300.0,Producer Manufacturing,Industrial Machinery
7,GDDY,103.87,14659226260.0,Technology Services,Data Processing Services
9,GD,251.49,68630838128.00001,Electronic Technology,Aerospace & Defense
9,FWONK,61.84,23005370099.0,Consumer Services,Movies/Entertainment
9,FWONA,56.2,23005370099.0,Consumer Services,Movies/Entertainment
2,FTV,69.06,24270001019.0,Electronic Technology,Electronic Equipment/Instruments
4,FTS,40.86,19960109725.638523,Utilities,Electric Utilities
5,FTNT,51.32,39409120793.0,Technology Services,Information Technology Services
7,FSLR,144.18,15404797092.999998,Electronic Technology,Semiconductors
2,FOXA,29.33,13776997999.999998,Consumer Services,Broadcasting
1,FOX,27.33,13776998000.0,Consumer Services,Broadcasting
9,FNV,107.41,20635544412.047035,Non-Energy Minerals,Precious Metals
9,FNF,46.82,12742449844.999998,Finance,Specialty Insurance
4,FND,100.8,10742245527.999998,Retail Trade,Home Improvement Chains
9,FMX,127.56,27493907943.29696,Consumer Non-Durables,Beverages: Non-Alcoholic
3,FMS,20.12,11762300122.196575,Health Services,Medical/Nursing Services
8,FLT,256.06,18488587931.0,Commercial Services,Miscellaneous Commercial Services
7,FLEX,25.4,11008310070.0,Electronic Technology,Electronic Production Equipment
8,FIVE,195.93,10813918649.0,Retail Trade,Discount Stores
9,FITB,30.81,20982121130.0,Finance,Regional Banks
9,FIS,58.92,34909135136.0,Technology Services,Packaged Software
7,FICO,1118.06,27631240193.0,Technology Services,Packaged Software
6,FI,131.42,78876399514.0,Finance,Regional Banks
1,FFIV,169.1,10096489667.0,Technology Services,Packaged Software
N/A,FERG,178.66,36355462425.0,Distribution Services,Wholesale Distributors
7,FE,37.3,21403292323.0,Utilities,Electric Utilities
8,FDX,267.63,67287657849.0,Transportation,Air Freight/Couriers
1,FDS,442.14,16796216812.999998,Technology Services,Data Processing Services
9,FCX,36.37,52153752685.0,Non-Energy Minerals,Other Metals/Minerals
7,FCNCA,1429.38,20579542686.0,Finance,Regional Banks
6,FAST,62.36,35633328000.00001,Distribution Services,Wholesale Distributors
6,FANG,147.59,26416382072.0,Energy Minerals,Oil & Gas Production
5,F/PD,23.84,43311965072.0,Consumer Durables,Motor Vehicles
5,F/PC,23.85,43311965072.0,Consumer Durables,Motor Vehicles
5,F/PB,24.37,43311965072.0,Consumer Durables,Motor Vehicles
5,F,10.82,43311965072.0,Consumer Durables,Motor Vehicles
9,EXR,137.11,28968303679.0,Finance,Real Estate Investment Trusts
10,EXPE,143.65,19945548157.0,Consumer Services,Other Consumer Services
